time,gini
0,0.000000
60,0.000000
120,0.000000
180,0.000000
240,0.000000
300,0.000000
360,0.978559
420,0.937592
480,0.908810
540,0.908883
600,0.888137
660,0.861169
720,0.798316
780,0.782219
840,0.760173
900,0.686578
960,0.654222
1020,0.631078
1080,0.601363
1140,0.589670
1200,0.592320
1260,0.585909
1320,0.579873
1380,0.588558
1440,0.591762
1500,0.596467
1560,0.593788
1620,0.590973
1680,0.584517
1740,0.585416
1800,0.578162
1860,0.578121
1920,0.569684
1980,0.565888
2040,0.566230
2100,0.562453
2160,0.559228
2220,0.549316
2280,0.542341
2340,0.534586
2400,0.532626
2460,0.529339
2520,0.519276
2580,0.516694
2640,0.509588
2700,0.497966
2760,0.491704
2820,0.484811
2880,0.478426
2940,0.474354
3000,0.474902
3060,0.471645
3120,0.467456
3180,0.466707
3240,0.465549
3300,0.457976
3360,0.457171
3420,0.447723
3480,0.447864
3540,0.450761
