latency,hops,proof_bytes
87.00,1,128
139.00,2,256
120.20,3,384
115.90,2,256
281.20,2,256
351.20,3,384
336.30,2,256
303.10,2,256
400.90,2,256
541.10,6,768
426.90,6,768
196.70,3,384
533.40,2,256
94.80,2,256
573.90,5,640
282.00,2,256
32.30,2,256
507.40,2,256
403.40,1,128
84.10,1,128
465.40,6,768
247.10,2,256
194.00,3,384
213.10,2,256
308.40,3,384
688.50,2,256
657.90,6,768
393.60,2,256
699.70,5,640
589.90,2,256
710.00,6,768
744.90,7,896
634.80,6,768
501.60,4,512
334.30,4,512
709.50,4,512
633.40,2,256
379.30,4,512
295.40,3,384
500.90,4,512
575.70,2,256
409.30,4,512
495.10,2,256
622.20,4,512
289.40,2,256
719.40,5,640
313.40,2,256
348.50,2,256
859.40,4,512
919.90,6,768
959.00,10,1280
695.00,5,640
951.70,4,512
753.20,2,256
902.40,5,640
547.10,3,384
778.30,9,1152
950.40,5,640
422.60,3,384
1085.00,7,896
306.10,2,256
451.10,4,512
803.70,4,512
956.80,4,512
611.30,2,256
966.20,4,512
710.70,3,384
745.10,2,256
1109.30,2,256
449.40,2,256
4.20,1,128
531.30,4,512
1185.00,6,768
940.20,4,512
210.10,1,128
1045.20,9,1152
212.40,3,384
1159.50,1,128
937.90,2,256
1118.10,3,384
580.90,4,512
1346.00,7,896
362.60,2,256
616.70,4,512
978.90,3,384
1111.80,6,768
1069.20,4,512
487.70,2,256
69.40,1,128
665.40,3,384
465.60,4,512
1375.60,5,640
205.80,3,384
554.80,2,256
629.30,4,512
42.70,1,128
1020.40,5,640
327.40,1,128
814.60,3,384
924.40,3,384
1100.90,3,384
221.80,1,128
1225.60,4,512
1145.70,4,512
945.70,5,640
1353.00,7,896
1025.90,2,256
1592.40,4,512
1291.50,5,640
695.70,2,256
1233.70,9,1152
1519.90,5,640
1115.40,2,256
475.50,3,384
344.30,2,256
925.80,5,640
1318.80,2,256
1509.10,8,1024
990.20,3,384
385.80,1,128
1512.00,6,768
1146.30,2,256
1604.50,5,640
594.90,1,128
1098.60,3,384
1426.80,2,256
1245.30,4,512
436.60,3,384
295.50,2,256
726.10,5,640
255.20,2,256
1149.10,4,512
1121.20,4,512
1088.50,5,640
1496.10,4,512
1860.20,7,896
1059.40,6,768
1274.50,6,768
1756.60,5,640
1178.60,2,256
805.90,3,384
1271.10,5,640
2128.40,4,512
488.00,1,128
1165.90,5,640
1548.90,3,384
1280.10,4,512
1115.50,3,384
837.60,4,512
1016.70,1,128
1786.90,10,1280
1105.70,4,512
1275.20,6,768
636.50,4,512
1481.10,8,1024
1508.90,6,768
1737.10,7,896
1978.60,3,384
432.10,1,128
1557.90,5,640
1247.20,3,384
1366.90,4,512
174.10,1,128
724.40,3,384
338.90,2,256
1399.00,6,768
604.10,2,256
514.90,2,256
1170.60,3,384
1644.40,1,128
732.10,1,128
1025.20,5,640
1752.50,7,896
1019.90,3,384
2058.60,6,768
2045.70,5,640
801.80,2,256
1764.80,7,896
1097.60,2,256
478.70,2,256
1311.80,5,640
1468.90,4,512
1506.90,6,768
675.30,3,384
1412.20,3,384
1245.00,10,1280
1492.80,2,256
954.10,7,896
645.20,4,512
691.70,2,256
1699.30,6,768
1659.50,5,640
1640.80,2,256
1080.30,4,512
903.20,1,128
1302.20,3,384
1246.30,3,384
1985.70,4,512
2189.70,7,896
1577.80,4,512
2463.90,9,1152
1435.10,2,256
1240.00,2,256
1378.10,1,128
706.10,3,384
362.40,3,384
1124.30,3,384
1494.40,4,512
1039.40,4,512
83.10,2,256
334.20,2,256
1192.70,6,768
854.10,2,256
697.20,2,256
1603.50,5,640
369.70,2,256
1726.60,2,256
1848.40,3,384
572.80,2,256
1415.90,5,640
1267.00,3,384
2203.70,5,640
1643.90,6,768
1348.70,6,768
385.90,1,128
857.00,9,1152
1583.20,3,384
2244.20,3,384
1262.90,3,384
2151.90,1,128
746.30,3,384
1099.80,3,384
1652.10,5,640
2243.20,5,640
1429.50,4,512
2105.60,7,896
1091.70,3,384
1752.70,4,512
1812.80,3,384
1708.80,3,384
1370.80,2,256
924.20,3,384
2133.20,8,1024
2235.10,3,384
1257.10,6,768
1227.20,4,512
1920.70,2,256
54.90,1,128
683.50,7,896
2470.70,3,384
1529.80,3,384
2063.90,6,768
1735.00,6,768
1516.10,3,384
1748.20,3,384
1391.90,4,512
1254.60,2,256
1558.20,3,384
1966.50,4,512
1202.00,7,896
1895.30,6,768
2461.10,7,896
1600.30,2,256
2024.50,4,512
1224.90,6,768
1890.40,5,640
63.20,1,128
313.80,1,128
2222.00,5,640
2377.10,6,768
2268.20,5,640
2533.10,4,512
365.20,1,128
1092.90,3,384
370.30,2,256
207.30,1,128
778.80,3,384
2129.20,4,512
1149.70,4,512
1503.90,3,384
1598.00,3,384
1779.30,4,512
2193.60,4,512
2301.10,4,512
404.90,2,256
873.50,3,384
2013.60,7,896
1913.20,5,640
1235.20,3,384
1708.60,1,128
2154.50,2,256
2235.30,4,512
494.60,1,128
1953.30,2,256
1606.40,5,640
235.60,2,256
1463.60,3,384
1125.40,2,256
2009.00,3,384
968.80,2,256
739.00,5,640
1425.40,4,512
896.90,3,384
1096.90,2,256
743.00,1,128
509.10,2,256
1381.40,3,384
1078.20,6,768
2366.30,6,768
1838.90,5,640
1656.40,6,768
1606.50,5,640
1254.20,1,128
