node_id,work,score,connectivity,forwards,delivery_contributions
p0,0.860975,0.602683,0.0000,115,5
p1,0.646870,0.602809,0.5000,19,5
p2,3.612858,2.529000,0.0000,657,22
p3,2.290177,1.603124,0.0000,212,9
p4,2.374154,1.661908,0.0000,308,8
p5,0.311704,0.218192,0.0000,29,4
p6,1.754700,1.228290,0.0000,118,10
p7,1.971311,1.379917,0.0000,175,8
p8,4.251850,2.976295,0.0000,131,10
p9,1.613968,1.129778,0.0000,336,11
p10,1.247878,1.173514,1.0000,126,7
p11,0.134217,0.093952,0.0000,30,1
p12,0.433957,0.303770,0.0000,52,2
p13,1.535180,1.074626,0.0000,144,3
p14,0.902807,0.631965,0.0000,145,8
p15,2.689245,1.882471,0.0000,285,8
p16,2.102951,1.472066,0.0000,55,4
p17,0.026156,0.018309,0.0000,52,4
p18,0.709440,0.496608,0.0000,71,3
p19,2.267220,1.587054,0.0000,179,9
p20,0.623108,0.436176,0.0000,65,6
p21,4.147571,3.203300,1.0000,292,15
p22,0.849203,0.594442,0.0000,116,6
p23,0.575642,0.502949,0.3333,111,3
p24,3.060777,2.142544,0.0000,133,8
p25,2.829031,1.980322,0.0000,166,13
p26,0.780943,0.546660,0.0000,150,5
p27,1.854799,1.298359,0.0000,179,9
p28,2.790048,1.953034,0.0000,280,9
p29,0.236385,0.165469,0.0000,51,1
p30,3.402016,2.381411,0.0000,219,8
p31,3.219707,2.253795,0.0000,75,6
p32,6.925587,4.847911,0.0000,337,24
c33,3.000883,2.100618,0.0000,338,11
c34,3.061997,2.143398,0.0000,200,9
c35,1.998034,1.398624,0.0000,132,7
c36,1.657853,1.160497,0.0000,297,10
c37,3.740583,2.618408,0.0000,261,9
c38,6.551146,4.735802,0.5000,516,22
c39,4.586678,3.210675,0.0000,268,14
c40,6.460894,4.522626,0.0000,333,23
c41,3.834733,2.684313,0.0000,255,18
c42,5.218875,3.653213,0.0000,359,17
c43,11.769329,8.238530,0.0000,272,25
c44,5.896953,4.127867,0.0000,378,15
c45,2.713109,1.899177,0.0000,336,13
c46,2.778538,1.944976,0.0000,358,12
c47,2.343686,1.640580,0.0000,373,16
c48,3.910036,2.737025,0.0000,113,12
c49,5.093179,3.565225,0.0000,394,21
c50,2.423257,1.696280,0.0000,270,11
c51,1.182688,0.827882,0.0000,151,6
c52,5.030118,3.521083,0.0000,236,18
c53,10.772043,7.540430,0.0000,281,26
c54,6.365675,4.455972,0.0000,387,19
c55,3.961201,2.772841,0.0000,317,11
c56,1.056574,0.739602,0.0000,256,6
c57,5.842069,4.089448,0.0000,348,19
c58,3.573323,2.501326,0.0000,223,14
c59,4.747709,3.323396,0.0000,315,18
c60,8.648460,6.053922,0.0000,241,14
c61,4.092895,2.865026,0.0000,278,20
c62,8.058297,5.640808,0.0000,275,23
c63,5.777577,4.044304,0.0000,269,16
c64,5.914720,4.140304,0.0000,407,19
c65,11.667529,8.167270,0.0000,273,29
w66,1.658868,1.311207,0.5000,340,15
w67,1.206164,0.994315,0.5000,187,5
w68,1.773176,1.241223,0.0000,25,4
w69,0.852712,0.596899,0.0000,250,6
w70,0.158538,0.110977,0.0000,20,1
w71,1.353415,0.947390,0.0000,184,9
w72,3.073288,2.151302,0.0000,393,17
w73,0.921647,0.645153,0.0000,123,3
w74,1.285232,0.899662,0.0000,187,3
w75,1.955258,1.368681,0.0000,156,7
w76,0.772323,0.540626,0.0000,116,4
w77,3.246834,2.272784,0.0000,212,13
w78,0.577609,0.404326,0.0000,136,7
w79,0.266658,0.186661,0.0000,113,2
w80,3.018458,2.112921,0.0000,276,11
w81,0.795913,0.557139,0.0000,110,5
w82,0.833190,0.733233,0.5000,150,4
w83,3.229983,2.260988,0.0000,341,12
w84,1.022883,1.016018,1.0000,140,7
w85,1.666513,1.166559,0.0000,182,3
w86,3.068723,2.148106,0.0000,324,13
w87,1.262512,0.883758,0.0000,345,5
w88,3.413161,2.389213,0.0000,241,8
w89,0.000000,0.000000,0.0000,19,0
w90,0.930053,0.651037,0.0000,64,5
w91,1.387610,0.971327,0.0000,165,7
w92,5.709983,3.996988,0.0000,60,9
w93,0.715635,0.500945,0.0000,46,4
w94,2.249578,1.574705,0.0000,78,7
w95,1.381659,0.967161,0.0000,27,4
w96,0.980863,0.836604,0.5000,269,8
w97,1.733096,1.213167,0.0000,255,10
w98,1.827588,1.279312,0.0000,302,8
w99,4.525198,3.167638,0.0000,88,9
t100,9.705347,6.893743,0.3333,338,26
t101,13.493430,9.545401,0.3333,389,35
t102,7.700181,5.390127,0.0000,439,23
t103,2.285990,1.600193,0.0000,724,15
t104,7.311424,5.117997,0.0000,291,17
t105,4.914793,3.440355,0.0000,285,18
