time,total_forwards,experienced_forwards,fraction_experienced
0,5,0,0.0000
60,14,0,0.0000
120,18,0,0.0000
180,30,0,0.0000
240,75,0,0.0000
300,109,0,0.0000
360,145,21,0.1448
420,104,18,0.1731
480,165,29,0.1758
540,131,40,0.3053
600,163,19,0.1166
660,180,41,0.2278
720,322,64,0.1988
780,232,76,0.3276
840,466,331,0.7103
900,310,241,0.7774
960,279,145,0.5197
1020,192,150,0.7813
1080,202,146,0.7228
1140,340,264,0.7765
1200,313,267,0.8530
1260,652,457,0.7009
1320,546,455,0.8333
1380,404,354,0.8762
1440,211,147,0.6967
1500,506,400,0.7905
1560,465,419,0.9011
1620,332,268,0.8072
1680,829,735,0.8866
1740,477,428,0.8973
1800,469,450,0.9595
1860,447,416,0.9306
1920,458,414,0.9039
1980,453,362,0.7991
2040,392,329,0.8393
2100,360,342,0.9500
2160,342,341,0.9971
2220,360,355,0.9861
2280,543,543,1.0000
2340,327,325,0.9939
2400,468,468,1.0000
2460,539,521,0.9666
2520,510,510,1.0000
2580,266,266,1.0000
2640,317,317,1.0000
2700,393,393,1.0000
2760,344,344,1.0000
2820,456,456,1.0000
2880,525,525,1.0000
2940,765,765,1.0000
3000,402,402,1.0000
3060,700,700,1.0000
3120,560,560,1.0000
3180,693,690,0.9957
3240,501,496,0.9900
3300,424,424,1.0000
3360,252,251,0.9960
3420,400,396,0.9900
3480,270,270,1.0000
3540,365,365,1.0000
