time,gini
0,0.000000
60,0.000000
120,0.000000
180,0.000000
240,0.000000
300,0.000000
360,0.000000
420,0.000000
480,0.000000
540,0.918148
600,0.855885
660,0.812998
720,0.784027
780,0.784027
840,0.767787
900,0.747860
960,0.720667
1020,0.685239
1080,0.657679
1140,0.635038
1200,0.606851
1260,0.606795
1320,0.592778
1380,0.576098
1440,0.575482
1500,0.558250
1560,0.554773
1620,0.553160
1680,0.552934
1740,0.545729
1800,0.547530
1860,0.548232
1920,0.545818
1980,0.546921
2040,0.539110
2100,0.542871
2160,0.544197
2220,0.530660
2280,0.523828
2340,0.514799
2400,0.503685
2460,0.505929
2520,0.506519
2580,0.497362
2640,0.496152
2700,0.497581
2760,0.491024
2820,0.490581
2880,0.487448
2940,0.489052
3000,0.487430
3060,0.487432
3120,0.485678
3180,0.483095
3240,0.484058
3300,0.485570
3360,0.484008
3420,0.484465
3480,0.481301
3540,0.481468
