latency,hops,proof_bytes
52.10,1,128
88.30,3,384
51.70,2,256
0.10,1,128
201.40,5,640
257.20,1,128
100.60,1,128
182.70,1,128
370.30,3,384
413.30,4,512
446.80,4,512
496.90,5,640
411.60,3,384
338.40,4,512
612.50,4,512
488.70,4,512
481.80,6,768
425.80,3,384
709.60,4,512
645.80,5,640
501.80,5,640
217.80,3,384
698.10,5,640
577.10,3,384
655.80,5,640
405.30,5,640
389.90,4,512
608.60,5,640
920.70,3,384
502.40,4,512
584.50,1,128
774.60,6,768
612.70,3,384
652.40,4,512
19.30,1,128
604.60,3,384
849.70,5,640
665.20,2,256
104.40,1,128
213.70,2,256
834.80,3,384
242.80,3,384
801.90,4,512
470.50,3,384
931.80,5,640
288.60,2,256
633.20,7,896
931.70,5,640
743.80,7,896
895.10,3,384
1149.70,4,512
264.10,3,384
971.70,6,768
482.50,2,256
749.90,4,512
1010.90,2,256
1236.60,4,512
869.70,6,768
909.80,4,512
917.10,2,256
198.10,2,256
934.00,3,384
1136.00,5,640
860.70,5,640
664.40,3,384
1271.20,6,768
738.40,3,384
1175.60,5,640
601.30,4,512
962.60,8,1024
528.70,2,256
948.20,3,384
771.40,5,640
1295.80,4,512
1447.90,4,512
486.60,4,512
1369.40,5,640
1073.80,2,256
321.10,3,384
1124.30,1,128
1434.00,6,768
793.90,3,384
1487.40,4,512
757.60,3,384
453.70,4,512
630.80,4,512
843.70,3,384
935.90,2,256
287.30,1,128
771.50,2,256
749.00,2,256
1015.90,3,384
450.90,3,384
237.80,3,384
1488.70,4,512
1113.00,3,384
1264.60,4,512
748.00,5,640
644.70,1,128
969.90,6,768
714.80,5,640
1141.20,10,1280
402.30,2,256
1046.00,3,384
748.20,7,896
1106.30,6,768
86.30,2,256
1689.70,6,768
1100.80,4,512
1140.90,3,384
686.20,2,256
304.80,3,384
1023.60,4,512
1041.00,3,384
1115.60,1,128
707.60,3,384
1250.70,6,768
858.60,6,768
1548.30,5,640
0.10,1,128
1285.50,1,128
1423.80,3,384
1888.10,5,640
522.20,2,256
771.30,2,256
1712.50,5,640
722.60,2,256
1530.00,4,512
1389.40,3,384
1470.90,3,384
1408.10,5,640
1428.50,4,512
1497.70,7,896
1099.80,4,512
394.30,3,384
384.60,1,128
574.40,3,384
161.30,1,128
2066.40,5,640
763.30,3,384
901.60,4,512
651.30,4,512
1234.10,2,256
918.70,3,384
1032.10,2,256
409.40,2,256
1362.40,3,384
1022.40,1,128
1565.90,4,512
931.20,3,384
1066.70,7,896
1204.20,5,640
1777.30,6,768
1502.80,4,512
1311.80,6,768
1752.50,6,768
741.30,5,640
868.40,2,256
1213.00,5,640
804.50,3,384
563.20,1,128
670.30,5,640
1194.10,5,640
191.90,1,128
903.60,6,768
22.00,1,128
814.20,3,384
1125.40,4,512
1526.60,5,640
1932.00,4,512
1106.00,3,384
1157.20,2,256
1579.50,3,384
801.80,2,256
219.90,2,256
1813.90,2,256
1913.00,6,768
1365.70,4,512
75.10,2,256
676.40,4,512
1061.70,3,384
760.90,4,512
965.10,5,640
655.80,4,512
1800.10,3,384
759.30,5,640
1536.40,6,768
1318.50,4,512
1018.00,4,512
1057.30,4,512
660.20,2,256
939.70,4,512
114.50,1,128
1052.90,3,384
720.90,2,256
1128.80,3,384
1190.80,2,256
1488.10,6,768
1717.20,3,384
1452.30,3,384
1269.70,2,256
1041.70,3,384
587.10,3,384
418.90,3,384
737.70,1,128
2128.60,6,768
767.80,3,384
849.40,3,384
878.20,4,512
2202.90,5,640
1828.00,7,896
2525.10,7,896
151.70,2,256
1031.10,2,256
1254.70,5,640
1373.30,6,768
1809.30,8,1024
1239.60,5,640
389.40,2,256
536.70,2,256
1058.80,6,768
1350.10,4,512
2341.20,6,768
621.40,2,256
1052.50,3,384
976.60,4,512
481.90,2,256
1015.90,2,256
1262.10,2,256
1481.40,3,384
1569.50,3,384
2159.30,8,1024
1675.20,4,512
1247.10,4,512
1597.80,6,768
1236.00,4,512
1672.30,6,768
805.50,1,128
633.00,2,256
703.60,1,128
2310.60,4,512
