time,total_forwards,experienced_forwards,fraction_experienced
0,5,0,0.0000
60,8,0,0.0000
120,36,0,0.0000
180,63,2,0.0317
240,170,2,0.0118
300,175,5,0.0286
360,151,0,0.0000
420,186,8,0.0430
480,384,77,0.2005
540,345,123,0.3565
600,265,27,0.1019
660,402,126,0.3134
720,437,116,0.2654
780,226,61,0.2699
840,434,193,0.4447
900,579,425,0.7340
960,426,297,0.6972
1020,429,313,0.7296
1080,424,310,0.7311
1140,444,335,0.7545
1200,206,162,0.7864
1260,263,169,0.6426
1320,269,181,0.6729
1380,487,346,0.7105
1440,333,248,0.7447
1500,522,409,0.7835
1560,356,288,0.8090
1620,506,465,0.9190
1680,617,584,0.9465
1740,609,503,0.8259
1800,605,491,0.8116
1860,411,255,0.6204
1920,317,263,0.8297
1980,360,246,0.6833
2040,592,551,0.9307
2100,357,346,0.9692
2160,428,422,0.9860
2220,386,382,0.9896
2280,429,374,0.8718
2340,537,505,0.9404
2400,685,668,0.9752
2460,508,497,0.9783
2520,377,367,0.9735
2580,782,769,0.9834
2640,565,518,0.9168
2700,259,247,0.9537
2760,347,345,0.9942
2820,307,305,0.9935
2880,490,488,0.9959
2940,622,622,1.0000
3000,486,479,0.9856
3060,395,395,1.0000
3120,500,460,0.9200
3180,728,728,1.0000
3240,672,668,0.9940
3300,332,332,1.0000
3360,361,361,1.0000
3420,384,383,0.9974
3480,467,467,1.0000
3540,518,500,0.9653
