node_id,work,score,connectivity,forwards,delivery_contributions
p0,0.826856,0.878799,1.0000,133,4
p1,1.621532,1.135072,0.0000,86,4
p2,1.878119,1.314683,0.0000,284,8
p3,1.577455,1.104218,0.0000,150,8
p4,2.238554,1.566987,0.0000,101,5
p5,3.136266,2.195386,0.0000,38,4
p6,3.167631,2.217342,0.0000,140,9
p7,0.457114,0.319980,0.0000,121,8
p8,0.000000,0.000000,0.0000,13,0
p9,2.251346,1.575942,0.0000,189,7
p10,0.460636,0.322445,0.0000,15,1
p11,2.245118,1.571583,0.0000,145,7
p12,2.300658,1.610460,0.0000,192,8
p13,2.085053,1.459537,0.0000,182,7
p14,2.047604,1.433323,0.0000,239,6
p15,2.925226,2.047658,0.0000,299,12
p16,0.720774,0.604542,0.3333,150,7
p17,3.388411,2.371887,0.0000,133,7
p18,2.949404,2.064583,0.0000,8,5
p19,0.489609,0.492727,0.5000,40,2
p20,0.729700,0.510790,0.0000,170,3
p21,5.136283,3.595398,0.0000,68,8
p22,1.599343,1.119540,0.0000,245,5
p23,1.602582,1.121807,0.0000,61,6
p24,0.139366,0.097556,0.0000,31,2
p25,3.426709,2.398697,0.0000,186,10
p26,2.319732,1.623813,0.0000,175,8
p27,1.466334,1.026434,0.0000,86,5
p28,1.285580,0.899906,0.0000,54,3
p29,0.495025,0.346517,0.0000,62,1
p30,1.113436,0.779405,0.0000,93,5
p31,5.509968,3.856978,0.0000,253,13
p32,1.199340,0.839538,0.0000,173,5
p33,2.993069,2.095149,0.0000,414,12
p34,1.173549,0.821485,0.0000,161,5
p35,0.321668,0.225168,0.0000,28,2
p36,2.362707,1.653895,0.0000,133,7
p37,5.900422,4.130295,0.0000,433,23
p38,0.655434,0.458804,0.0000,68,2
p39,1.029703,0.720792,0.0000,63,5
c40,2.862742,2.003920,0.0000,378,16
c41,7.884091,5.518863,0.0000,108,13
c42,4.325013,3.027509,0.0000,314,14
c43,6.016216,4.211351,0.0000,315,19
c44,5.830933,4.081653,0.0000,467,17
c45,3.803706,2.662594,0.0000,242,18
c46,6.657944,4.660561,0.0000,194,15
c47,10.019334,7.013534,0.0000,143,20
c48,3.314925,2.320448,0.0000,306,11
c49,8.075992,5.653194,0.0000,254,24
c50,5.950226,4.165158,0.0000,248,15
c51,5.728799,4.010159,0.0000,259,17
c52,8.908118,6.235682,0.0000,172,19
c53,5.844831,4.091382,0.0000,135,13
c54,5.956996,4.169897,0.0000,313,18
c55,5.417425,3.792197,0.0000,144,13
c56,4.148726,2.904108,0.0000,342,17
c57,6.067839,4.247487,0.0000,230,9
c58,5.438598,3.807019,0.0000,356,17
c59,0.865501,0.605851,0.0000,193,4
c60,4.361706,3.053194,0.0000,181,13
c61,6.945936,4.862155,0.0000,364,14
c62,1.709356,1.196549,0.0000,341,7
c63,3.231812,2.262269,0.0000,428,13
c64,7.289568,5.102698,0.0000,154,16
c65,3.252620,2.276834,0.0000,363,12
c66,5.589849,3.912894,0.0000,82,12
c67,2.504467,1.753127,0.0000,282,8
c68,6.379635,4.465745,0.0000,59,10
c69,4.813192,3.369235,0.0000,312,14
c70,5.260783,3.832548,0.5000,223,17
c71,3.871963,2.710374,0.0000,207,12
c72,6.399645,4.479752,0.0000,111,15
c73,8.052829,5.636980,0.0000,246,22
c74,6.602938,4.622057,0.0000,194,11
c75,3.273118,2.291182,0.0000,374,12
c76,4.803862,3.362703,0.0000,339,18
c77,3.465752,2.426027,0.0000,516,12
c78,2.466941,1.726859,0.0000,253,6
c79,4.639389,3.247572,0.0000,370,16
w80,3.499755,2.449828,0.0000,444,16
w81,1.553428,1.087400,0.0000,43,4
w82,0.842753,0.589927,0.0000,187,4
w83,2.442566,1.709796,0.0000,421,11
w84,0.320830,0.224581,0.0000,186,3
w85,0.289207,0.202445,0.0000,118,1
w86,0.631459,0.442021,0.0000,49,2
w87,3.636683,2.545678,0.0000,146,9
w88,1.118987,0.783291,0.0000,211,4
w89,0.117919,0.082543,0.0000,39,2
w90,1.803063,1.262144,0.0000,89,4
w91,0.764430,0.535101,0.0000,92,4
w92,0.716251,0.501376,0.0000,53,4
w93,2.024211,1.416947,0.0000,133,6
w94,0.753667,0.527567,0.0000,133,3
w95,0.379894,0.265926,0.0000,250,3
w96,1.002784,0.701949,0.0000,174,5
w97,0.237061,0.165943,0.0000,11,2
w98,0.641522,0.449066,0.0000,238,4
w99,0.957738,0.670416,0.0000,152,7
w100,1.405086,0.983560,0.0000,193,5
w101,0.080597,0.056418,0.0000,5,1
w102,0.630936,0.441655,0.0000,220,5
w103,1.638172,1.146721,0.0000,162,5
w104,0.220748,0.154523,0.0000,163,3
w105,1.094590,0.766213,0.0000,70,4
w106,1.749332,1.224533,0.0000,150,9
w107,1.132259,0.792581,0.0000,212,4
w108,0.406229,0.284361,0.0000,60,2
w109,0.000000,0.000000,0.0000,9,0
w110,1.684363,1.179054,0.0000,180,5
w111,1.009791,0.706854,0.0000,38,3
w112,0.332651,0.232856,0.0000,102,2
w113,0.342615,0.239831,0.0000,16,1
w114,2.158734,1.511114,0.0000,461,10
w115,1.222457,0.855720,0.0000,13,2
w116,3.503302,2.452311,0.0000,385,11
w117,2.130702,1.491492,0.0000,186,7
w118,0.853081,0.597157,0.0000,134,5
w119,0.336817,0.235772,0.0000,139,2
t120,20.832193,14.682535,0.3333,197,34
t121,15.757903,11.230532,0.6667,307,35
t122,4.792979,3.505086,0.5000,249,12
t123,2.692726,1.884908,0.0000,559,13
t124,3.091464,2.164025,0.0000,263,10
t125,3.486681,2.440677,0.0000,285,13
