time,total_forwards,experienced_forwards,fraction_experienced
0,3,0,0.0000
60,26,0,0.0000
120,36,0,0.0000
180,86,2,0.0233
240,223,2,0.0090
300,172,7,0.0407
360,335,22,0.0657
420,414,85,0.2053
480,384,139,0.3620
540,499,73,0.1463
600,478,151,0.3159
660,494,155,0.3138
720,485,210,0.4330
780,551,221,0.4011
840,574,236,0.4111
900,463,232,0.5011
960,715,528,0.7385
1020,414,286,0.6908
1080,535,308,0.5757
1140,597,403,0.6750
1200,676,535,0.7914
1260,758,646,0.8522
1320,644,605,0.9394
1380,643,595,0.9253
1440,362,308,0.8508
1500,746,720,0.9651
1560,564,533,0.9450
1620,536,517,0.9646
1680,726,632,0.8705
1740,565,485,0.8584
1800,588,545,0.9269
1860,794,712,0.8967
1920,876,730,0.8333
1980,729,702,0.9630
2040,888,832,0.9369
2100,662,627,0.9471
2160,689,681,0.9884
2220,465,464,0.9978
2280,707,679,0.9604
2340,856,848,0.9907
2400,614,609,0.9919
2460,636,626,0.9843
2520,612,595,0.9722
2580,531,500,0.9416
2640,687,654,0.9520
2700,861,754,0.8757
2760,656,626,0.9543
2820,994,921,0.9266
2880,822,815,0.9915
2940,764,749,0.9804
3000,845,843,0.9976
3060,582,574,0.9863
3120,740,702,0.9486
3180,794,794,1.0000
3240,986,984,0.9980
3300,462,461,0.9978
3360,632,632,1.0000
3420,732,716,0.9781
3480,866,866,1.0000
3540,904,892,0.9867
