node_id,work,score,connectivity,forwards,delivery_contributions
p0,0.500032,0.350022,0.0000,31,4
p1,2.180836,1.526585,0.0000,127,6
p2,4.693030,3.285121,0.0000,172,14
p3,1.782788,1.247952,0.0000,16,4
p4,7.395082,5.176557,0.0000,86,14
p5,0.064875,0.045413,0.0000,26,5
p6,0.487168,0.341017,0.0000,4,1
p7,8.245514,5.771860,0.0000,107,14
p8,2.491741,1.744219,0.0000,118,10
p9,2.531240,1.771868,0.0000,83,5
p10,2.196149,1.537304,0.0000,42,4
p11,0.202714,0.141900,0.0000,45,3
p12,1.465548,1.025883,0.0000,35,4
p13,0.974309,0.682017,0.0000,64,8
p14,4.559492,3.191644,0.0000,125,15
p15,0.373122,0.261185,0.0000,11,2
c16,4.798202,3.358741,0.0000,102,13
c17,11.291920,7.904344,0.0000,179,24
c18,9.047888,6.333521,0.0000,104,22
c19,0.631427,0.441999,0.0000,54,2
c20,2.668331,1.867831,0.0000,156,15
c21,4.994405,3.496083,0.0000,116,15
c22,5.564679,3.895276,0.0000,101,20
c23,3.650012,2.555009,0.0000,182,16
c24,9.392622,6.574835,0.0000,193,18
c25,4.909582,3.436708,0.0000,97,9
c26,8.133406,5.693385,0.0000,77,21
c27,4.195119,2.936583,0.0000,129,17
c28,3.037549,2.126284,0.0000,109,12
c29,0.069755,0.048828,0.0000,35,2
c30,9.437550,6.606285,0.0000,55,20
c31,8.820062,6.174043,0.0000,66,22
w32,4.254618,2.978233,0.0000,136,7
w33,2.305296,1.613707,0.0000,37,4
w34,0.170347,0.119243,0.0000,44,3
w35,1.484672,1.039271,0.0000,47,4
w36,1.218257,0.852780,0.0000,113,6
w37,2.393866,1.675707,0.0000,118,8
w38,3.695108,2.586576,0.0000,110,10
w39,2.448288,1.713801,0.0000,94,7
w40,2.145091,1.501564,0.0000,83,12
w41,3.374792,2.362354,0.0000,90,10
w42,5.135461,3.594823,0.0000,48,12
w43,4.408355,3.085849,0.0000,174,21
w44,0.932614,0.652830,0.0000,78,5
w45,0.201683,0.141178,0.0000,31,4
w46,2.537439,1.776207,0.0000,19,4
w47,2.360913,1.652639,0.0000,20,4
w48,4.676078,3.273255,0.0000,161,8
w49,1.187336,0.831135,0.0000,141,6
t50,12.545442,8.781810,0.0000,226,31
t51,3.306296,2.314407,0.0000,132,13
t52,8.262390,5.783673,0.0000,325,26
t53,11.486733,8.040713,0.0000,177,20
t54,7.598087,5.318661,0.0000,88,14
t55,4.674289,3.272002,0.0000,291,13
