time,gini
0,0.000000
60,0.000000
120,0.000000
180,0.000000
240,0.000000
300,0.982143
360,0.982143
420,0.927962
480,0.869740
540,0.872643
600,0.872643
660,0.829137
720,0.829137
780,0.829137
840,0.775105
900,0.775105
960,0.743583
1020,0.740956
1080,0.707699
1140,0.710169
1200,0.710547
1260,0.661649
1320,0.661649
1380,0.627925
1440,0.627925
1500,0.616336
1560,0.602451
1620,0.578406
1680,0.544141
1740,0.547667
1800,0.531358
1860,0.516126
1920,0.518819
1980,0.511573
2040,0.510151
2100,0.510151
2160,0.503887
2220,0.502867
2280,0.496128
2340,0.489861
2400,0.497656
2460,0.493121
2520,0.496559
2580,0.494685
2640,0.493158
2700,0.486612
2760,0.479879
2820,0.475954
2880,0.475620
2940,0.476146
3000,0.468568
3060,0.461637
3120,0.461783
3180,0.460741
3240,0.457410
3300,0.458995
3360,0.448118
3420,0.449705
3480,0.443339
3540,0.443340
