latency,hops,proof_bytes
94.90,2,256
133.20,2,256
297.60,6,768
190.70,5,640
162.00,3,384
317.10,2,256
432.70,8,1024
114.80,2,256
237.00,2,256
42.10,1,128
653.00,3,384
205.50,2,256
500.60,2,256
566.60,3,384
862.20,6,768
831.30,6,768
617.40,2,256
576.60,1,128
1068.10,5,640
713.20,4,512
936.30,4,512
781.30,2,256
876.50,3,384
1083.10,2,256
632.50,3,384
977.10,4,512
679.50,2,256
605.10,3,384
121.20,1,128
379.50,2,256
629.60,2,256
931.20,3,384
215.00,1,128
1052.00,1,128
1010.70,2,256
769.30,2,256
257.40,2,256
1220.50,3,384
639.00,4,512
1097.10,6,768
819.20,3,384
1028.40,4,512
513.50,4,512
976.00,3,384
803.10,1,128
573.50,1,128
662.60,3,384
233.40,2,256
1021.00,3,384
997.10,6,768
1109.40,2,256
556.10,2,256
1151.20,3,384
702.30,2,256
848.70,1,128
19.00,1,128
1026.30,2,256
479.30,2,256
674.10,2,256
1485.20,6,768
1140.30,2,256
1036.40,1,128
791.50,1,128
820.50,2,256
1114.60,3,384
1414.90,2,256
913.60,3,384
933.70,2,256
907.10,2,256
1531.50,5,640
1332.60,4,512
761.70,3,384
1547.80,4,512
519.80,1,128
1594.00,2,256
626.40,2,256
759.50,2,256
1169.60,3,384
1281.80,4,512
1179.00,1,128
790.10,2,256
447.20,2,256
1395.30,4,512
1556.40,4,512
1529.00,3,384
1043.20,5,640
1538.10,2,256
558.20,1,128
916.30,2,256
543.20,2,256
96.00,2,256
1406.10,4,512
671.20,1,128
1215.40,4,512
337.50,2,256
1710.00,4,512
1680.20,4,512
844.90,3,384
990.20,3,384
316.40,1,128
1501.70,2,256
112.80,1,128
1298.90,2,256
1252.40,2,256
1094.10,2,256
911.70,3,384
241.80,1,128
427.40,1,128
844.50,1,128
1161.90,1,128
1458.90,4,512
85.50,2,256
579.70,2,256
1219.80,3,384
1026.60,1,128
1156.90,4,512
1886.50,4,512
1494.60,3,384
1030.50,3,384
1829.60,7,896
555.30,2,256
1803.00,4,512
729.10,1,128
1910.90,5,640
1376.00,2,256
1284.10,5,640
1614.60,1,128
798.30,2,256
1029.50,2,256
1507.60,5,640
1005.30,3,384
754.50,2,256
910.20,1,128
1081.30,5,640
1833.70,5,640
2034.80,2,256
982.40,1,128
1662.30,4,512
1230.20,3,384
1155.30,5,640
1815.40,3,384
1216.40,4,512
802.30,3,384
774.40,2,256
1383.50,4,512
131.60,1,128
609.00,1,128
1255.70,2,256
1377.90,4,512
1102.40,2,256
702.90,2,256
866.90,1,128
1795.20,4,512
1845.30,5,640
2073.10,2,256
830.30,1,128
2264.70,5,640
1325.50,2,256
2024.60,2,256
2404.70,5,640
1113.40,1,128
1321.50,3,384
1264.50,5,640
425.60,2,256
2269.70,5,640
439.80,4,512
2077.70,3,384
1950.80,5,640
2605.50,2,256
2614.60,3,384
1689.80,6,768
1816.90,2,256
583.90,5,640
1848.00,3,384
1447.80,2,256
454.50,2,256
939.60,1,128
1645.00,2,256
1738.60,5,640
961.70,1,128
1462.90,1,128
1047.30,1,128
1320.50,3,384
630.90,1,128
1646.30,1,128
2642.90,4,512
1991.80,6,768
1952.90,1,128
1985.10,2,256
2028.50,5,640
2718.60,3,384
779.80,2,256
2119.00,3,384
1146.30,2,256
1138.70,3,384
808.20,1,128
2114.30,2,256
2716.10,7,896
2094.20,5,640
1003.00,1,128
2876.20,5,640
1746.30,3,384
1700.50,2,256
1910.90,2,256
2777.00,5,640
2654.20,4,512
1361.30,1,128
2666.70,3,384
677.80,2,256
2148.90,4,512
2303.40,3,384
1826.50,3,384
933.90,4,512
1578.80,2,256
11.30,1,128
706.50,1,128
1652.70,2,256
551.60,2,256
1245.20,5,640
730.50,2,256
665.80,2,256
1766.10,4,512
2604.60,2,256
936.50,1,128
1922.70,3,384
852.80,1,128
2057.00,2,256
2298.60,3,384
2324.90,3,384
982.40,1,128
