node_id,work,score,connectivity,forwards,delivery_contributions
p0,1.366517,0.956562,0.0000,136,37
p1,1.829104,1.280373,0.0000,58,45
p2,0.605274,0.423692,0.0000,71,35
p3,0.638682,0.447078,0.0000,11,37
p4,0.597670,0.418369,0.0000,60,27
p5,0.989531,0.842672,0.5000,116,23
p6,2.102417,1.471692,0.0000,247,34
p7,1.123821,0.786675,0.0000,27,41
p8,0.411017,0.287712,0.0000,280,34
p9,2.275042,1.592529,0.0000,121,34
p10,2.249010,1.724307,0.5000,194,38
p11,4.277522,2.994265,0.0000,122,39
p12,9.193191,6.435234,0.0000,270,43
p13,3.753346,2.627342,0.0000,108,38
p14,1.471424,1.029997,0.0000,97,29
p15,1.147241,0.803069,0.0000,127,31
p16,3.201128,2.240790,0.0000,297,59
p17,0.773260,0.541282,0.0000,61,27
p18,0.985567,0.689897,0.0000,35,30
p19,1.259551,0.881686,0.0000,143,34
p20,0.354418,0.248093,0.0000,44,39
p21,2.540514,1.778360,0.0000,247,37
p22,2.858393,2.000875,0.0000,31,41
p23,3.580007,2.506005,0.0000,188,40
p24,4.662971,3.264080,0.0000,191,50
p25,2.359476,1.651633,0.0000,172,35
p26,1.322433,0.925703,0.0000,141,40
p27,0.859299,0.601509,0.0000,108,35
p28,2.604978,1.973485,0.5000,210,41
p29,0.875991,0.613194,0.0000,77,33
p30,0.686986,0.480890,0.0000,290,38
p31,1.835853,1.285097,0.0000,58,34
c32,1.059132,0.741393,0.0000,259,34
c33,1.509707,1.056795,0.0000,212,36
c34,6.177202,4.324042,0.0000,215,48
c35,2.414616,1.690231,0.0000,387,50
c36,3.571151,2.499805,0.0000,230,46
c37,3.579982,2.505987,0.0000,239,39
c38,0.893913,0.625739,0.0000,223,46
c39,6.638075,4.646652,0.0000,251,49
c40,1.628907,1.140235,0.0000,355,45
c41,2.417358,1.692150,0.0000,261,41
c42,4.227513,2.959259,0.0000,487,45
c43,3.494337,2.446036,0.0000,615,39
c44,1.791760,1.254232,0.0000,211,41
c45,5.450368,3.815258,0.0000,146,44
c46,1.072774,0.750942,0.0000,554,37
c47,4.133916,2.893741,0.0000,449,50
c48,8.484087,5.938861,0.0000,220,50
c49,5.482908,3.838036,0.0000,168,41
c50,3.698724,2.589107,0.0000,270,46
c51,7.908463,5.535924,0.0000,328,51
c52,3.821591,2.675113,0.0000,265,46
c53,8.302421,5.811695,0.0000,157,45
c54,14.544845,10.181391,0.0000,128,48
c55,3.268738,2.288117,0.0000,307,38
c56,4.562542,3.193780,0.0000,149,51
c57,1.738319,1.216823,0.0000,172,33
c58,2.535489,1.774842,0.0000,398,45
c59,2.618081,1.832657,0.0000,292,44
c60,7.931066,5.551746,0.0000,259,52
c61,8.785145,6.149601,0.0000,330,41
c62,6.702927,4.692049,0.0000,349,58
c63,2.939177,2.057424,0.0000,193,43
c64,5.511790,3.858253,0.0000,271,44
c65,3.632749,2.542924,0.0000,237,34
c66,3.738167,2.616717,0.0000,181,48
c67,1.388249,0.971774,0.0000,381,33
c68,2.734612,1.914228,0.0000,372,28
c69,11.345797,7.942058,0.0000,252,55
c70,4.572568,3.200797,0.0000,103,42
c71,2.931778,2.052245,0.0000,218,32
w72,0.865356,0.605749,0.0000,37,32
w73,1.540434,1.078304,0.0000,348,34
w74,3.184838,2.229387,0.0000,98,36
w75,0.862859,0.604001,0.0000,136,34
w76,0.798709,0.559096,0.0000,125,37
w77,1.896657,1.327660,0.0000,102,39
w78,0.631170,0.441819,0.0000,53,24
w79,3.469009,2.428307,0.0000,316,31
w80,1.417760,0.992432,0.0000,261,33
w81,7.418760,5.193132,0.0000,64,33
w82,1.071245,0.749872,0.0000,61,31
w83,2.555804,1.789062,0.0000,175,37
w84,0.229280,0.160496,0.0000,85,36
w85,2.295587,1.606911,0.0000,328,35
w86,2.839878,1.987914,0.0000,205,46
w87,3.440530,2.408371,0.0000,247,36
w88,2.950111,2.065077,0.0000,214,28
w89,0.861395,0.602977,0.0000,237,44
w90,0.404418,0.283093,0.0000,73,31
w91,1.242805,0.869963,0.0000,70,36
w92,0.429593,0.300715,0.0000,96,29
w93,0.853482,0.597437,0.0000,83,41
w94,0.372731,0.260912,0.0000,21,33
w95,1.157596,0.810317,0.0000,90,23
w96,0.418505,0.292954,0.0000,73,38
w97,0.684599,0.479219,0.0000,18,30
w98,1.700592,1.190414,0.0000,77,44
w99,1.427345,0.999141,0.0000,413,37
w100,4.762758,3.333931,0.0000,472,47
w101,0.242568,0.169797,0.0000,20,40
w102,0.985077,0.689554,0.0000,43,34
w103,4.570616,3.199431,0.0000,29,37
w104,0.999607,0.699725,0.0000,47,34
w105,0.877883,0.614518,0.0000,113,34
w106,2.741402,1.918981,0.0000,153,52
w107,0.936466,0.655526,0.0000,74,36
w108,1.499392,1.349574,1.0000,184,37
w109,0.511579,0.358105,0.0000,149,28
w110,5.290740,3.703518,0.0000,263,45
w111,0.957255,0.670078,0.0000,181,26
t112,4.706622,3.394636,0.3333,281,46
t113,12.908906,9.136234,0.3333,196,71
t114,6.085408,4.259786,0.0000,350,43
t115,10.045520,7.031864,0.0000,186,60
t116,9.184511,6.429158,0.0000,278,53
t117,13.238769,9.267138,0.0000,465,58
s118,6.272609,4.390826,0.0000,146,207
s119,6.469730,4.528811,0.0000,201,375
s120,0.794589,0.556212,0.0000,113,1477
s121,3.627089,2.538962,0.0000,127,151
s122,7.645624,5.351937,0.0000,36,448
s123,4.984365,3.489055,0.0000,43,878
s124,4.591024,3.213716,0.0000,110,248
s125,12.696060,8.887242,0.0000,74,307
