time,total_forwards,experienced_forwards,fraction_experienced
0,6,0,0.0000
60,17,0,0.0000
120,25,0,0.0000
180,73,2,0.0274
240,87,1,0.0115
300,116,0,0.0000
360,140,2,0.0143
420,128,83,0.6484
480,246,185,0.7520
540,260,205,0.7885
600,338,183,0.5414
660,374,260,0.6952
720,374,323,0.8636
780,361,346,0.9584
840,394,363,0.9213
900,332,331,0.9970
960,397,397,1.0000
1020,544,510,0.9375
1080,262,262,1.0000
1140,559,546,0.9767
1200,414,414,1.0000
1260,494,489,0.9899
1320,410,410,1.0000
1380,325,325,1.0000
1440,319,319,1.0000
1500,592,592,1.0000
1560,592,592,1.0000
1620,445,445,1.0000
1680,287,287,1.0000
1740,460,460,1.0000
1800,414,414,1.0000
1860,344,344,1.0000
1920,576,576,1.0000
1980,634,634,1.0000
2040,447,447,1.0000
2100,666,666,1.0000
2160,512,512,1.0000
2220,401,401,1.0000
2280,334,334,1.0000
2340,549,549,1.0000
2400,482,482,1.0000
2460,518,518,1.0000
2520,538,538,1.0000
2580,578,578,1.0000
2640,526,526,1.0000
2700,773,773,1.0000
2760,711,711,1.0000
2820,480,480,1.0000
2880,630,630,1.0000
2940,637,637,1.0000
3000,409,409,1.0000
3060,319,319,1.0000
3120,523,523,1.0000
3180,432,432,1.0000
3240,483,483,1.0000
3300,477,477,1.0000
3360,477,477,1.0000
3420,312,312,1.0000
3480,527,527,1.0000
3540,363,363,1.0000
