time,gini
0,0.000000
60,0.000000
120,0.000000
180,0.000000
240,0.000000
300,0.941753
360,0.930488
420,0.902226
480,0.823989
540,0.814842
600,0.785241
660,0.757508
720,0.714299
780,0.714299
840,0.703983
900,0.694248
960,0.669095
1020,0.626446
1080,0.612792
1140,0.602529
1200,0.584608
1260,0.579619
1320,0.573400
1380,0.558503
1440,0.561594
1500,0.561818
1560,0.555216
1620,0.535890
1680,0.522687
1740,0.520080
1800,0.514986
1860,0.508622
1920,0.510675
1980,0.508870
2040,0.511399
2100,0.511384
2160,0.497485
2220,0.499911
2280,0.504980
2340,0.504935
2400,0.506608
2460,0.502759
2520,0.506586
2580,0.501258
2640,0.492352
2700,0.494327
2760,0.492519
2820,0.493875
2880,0.492262
2940,0.487208
3000,0.484926
3060,0.482503
3120,0.482532
3180,0.480949
3240,0.480460
3300,0.481766
3360,0.480312
3420,0.475729
3480,0.472512
3540,0.471411
