latency,hops,proof_bytes
91.60,3,384
155.00,18,2304
152.90,1,128
266.10,6,768
359.00,4,512
290.10,2,256
375.00,3,384
358.40,6,768
334.40,3,384
242.70,2,256
400.80,4,512
226.10,7,896
320.90,4,512
430.00,1,128
150.40,2,256
562.30,4,512
463.60,1,128
504.50,4,512
411.60,341,43648
106.90,3,384
368.70,4,512
586.30,4,512
661.40,5,640
81.60,1,128
414.60,4,512
730.70,3,384
299.70,3,384
361.40,5,640
669.40,5,640
140.70,3,384
514.90,258,33024
395.60,2,256
575.70,4,512
427.90,3,384
727.50,3,384
120.50,2,256
626.70,2,256
467.10,3,384
799.20,5,640
680.70,1,128
407.90,2,256
771.80,4,512
459.70,283,36224
660.80,2,256
479.40,4,512
243.20,3,384
223.30,5,640
587.80,5,640
853.00,17,2176
573.70,4,512
443.40,2,256
832.30,2,256
104.40,1,128
826.90,6,768
116.20,2,256
900.50,4,512
674.40,4,512
778.60,4,512
1019.70,7,896
912.80,2,256
208.80,3,384
436.90,3,384
572.60,2,256
595.20,30,3840
848.90,4,512
809.70,4,512
668.60,2,256
935.10,2,256
796.20,3,384
707.70,29,3712
549.00,2,256
762.80,4,512
1177.20,4,512
155.30,2,256
356.50,2,256
1131.30,9,1152
810.40,6,768
965.30,6,768
1113.00,8,1024
1012.40,3,384
122.40,1,128
500.10,3,384
36.70,1,128
925.90,3,384
908.20,3,384
0.20,1,128
639.90,3,384
536.20,3,384
550.80,2,256
690.40,4,512
236.60,3,384
771.90,2,256
1278.60,2,256
960.70,5,640
983.40,189,24192
294.30,2,256
556.10,3,384
624.40,2,256
886.90,4,512
763.70,2,256
992.70,3,384
952.10,1,128
557.70,441,56448
796.60,3244,415232
165.30,2,256
1508.40,3,384
1096.50,4,512
856.00,2,256
472.50,1,128
794.90,2,256
976.10,8,1024
836.00,5,640
755.50,2,256
1284.50,4,512
278.70,3,384
243.70,22,2816
200.20,1,128
456.50,3,384
1322.90,344,44032
1448.00,2,256
570.50,2,256
808.70,5,640
757.70,3,384
551.10,2,256
959.00,3,384
498.50,1,128
643.60,7,896
1059.30,4,512
860.40,3,384
951.50,6,768
287.80,1,128
503.30,2,256
1017.70,2,256
1185.90,6,768
1473.00,4,512
1253.10,4,512
627.20,3,384
1504.30,1484,189952
607.30,5,640
1469.60,20,2560
151.40,3,384
396.60,2,256
584.10,4,512
526.70,124,15872
933.90,3,384
1309.00,4,512
1654.10,4,512
1011.20,3,384
563.50,4,512
1198.80,4,512
905.50,5,640
947.60,7,896
669.50,2,256
264.00,1,128
1329.70,2,256
718.30,3,384
990.40,2,256
335.40,2,256
999.60,3,384
1029.50,1,128
717.30,20,2560
741.60,5,640
1223.30,4,512
939.80,2,256
1614.10,4,512
1252.40,5,640
143.70,2,256
601.80,4,512
1004.30,3,384
459.80,3,384
620.50,5,640
1001.80,5,640
1844.30,3,384
621.70,2,256
1482.80,2,256
1537.60,6,768
1201.00,4,512
988.10,5,640
1437.20,3,384
1577.40,5,640
1296.90,931,119168
1757.90,127,16256
2047.30,1,128
1328.80,3,384
964.50,6,768
1147.00,2,256
1032.00,4,512
1126.40,7,896
678.20,2,256
1782.60,3,384
1765.70,4,512
981.00,2,256
1465.30,3,384
494.50,3,384
1364.30,2,256
763.90,3,384
1258.00,9,1152
692.60,3,384
663.10,3,384
718.30,2,256
881.00,4,512
1276.20,4,512
410.90,1,128
1046.50,4,512
1203.60,5,640
687.40,666,85248
1922.60,4,512
984.30,3,384
491.10,7,896
597.40,2,256
1399.50,1,128
751.50,2,256
1059.20,2,256
244.10,1,128
2054.50,1,128
1126.60,2,256
271.20,3,384
1604.40,3,384
1175.70,6,768
911.80,688,88064
951.10,3,384
795.80,1,128
1613.00,3,384
510.70,1,128
1541.20,571,73088
727.80,6,768
1672.90,7,896
785.20,1,128
1752.30,2236,286208
930.90,3,384
806.00,1,128
396.20,2,256
1037.30,2,256
404.40,2,256
962.20,2,256
1506.90,5,640
1943.40,6,768
1180.50,3,384
1634.60,3,384
620.40,3,384
630.90,3,384
1461.50,3,384
772.20,2,256
830.20,1,128
1887.20,5,640
1530.60,4,512
1608.70,5,640
443.70,2,256
1657.30,4,512
2246.40,2,256
2309.60,3,384
1265.30,3,384
738.80,3,384
1884.90,5,640
1819.00,4,512
1440.20,4,512
393.20,2,256
1303.00,3,384
1738.80,4,512
1511.80,6,768
2201.90,5,640
2112.00,6,768
1363.20,4,512
1182.10,1,128
2211.70,3,384
475.30,1,128
1726.70,5,640
1357.70,5,640
1464.00,5,640
1191.90,3,384
799.40,2,256
1037.40,3,384
966.40,2,256
260.70,2,256
58.30,1,128
921.80,4,512
1216.70,4,512
1940.80,3,384
1180.70,3,384
1225.30,3,384
197.40,4,512
321.50,1,128
1529.60,2,256
1196.10,3,384
1009.30,3,384
1043.60,5,640
1003.70,5,640
2140.50,1,128
1177.50,5,640
200.70,1,128
1619.60,5,640
1274.80,3,384
1440.80,5,640
1422.30,2,256
1732.30,6,768
957.40,6,768
1544.10,3,384
1704.00,6,768
1181.00,2,256
383.00,2,256
1980.30,5,640
758.00,2,256
1097.90,2,256
1497.10,1,128
786.60,1,128
761.70,3,384
674.00,2,256
1877.10,5,640
1382.80,7,896
1957.90,4,512
325.20,2,256
1664.80,6,768
2263.90,3,384
1809.70,8,1024
1017.20,4,512
1545.00,9,1152
653.30,12,1536
1734.20,3,384
1712.10,2,256
1542.10,16,2048
633.40,3,384
753.70,3,384
1121.30,1,128
586.00,3,384
216.90,2,256
824.00,4,512
1711.80,6,768
380.90,2,256
620.90,3,384
1794.30,3,384
1231.60,2,256
