protocol,scenario,nodes,seed,created,delivered,delivery_prob,overhead_ratio,latency_avg,hopcount_avg,relayed
PoDC,base,50,1,801,379,0.4732,28.4485,933.9354,2.5488,11161
PoDC,base,100,1,869,506,0.5823,69.7747,893.6698,3.3142,35812
PoDC,base,150,1,922,633,0.6866,112.9842,727.3983,3.6319,72152
Epidemic,base,50,1,561,288,0.5134,42.4167,1126.4781,3.2292,12504
Epidemic,base,100,1,558,367,0.6577,97.3406,931.9583,4.0708,36091
Epidemic,base,150,1,557,403,0.7235,192.0422,730.5769,4.3201,77796
Prophet,base,50,1,561,234,0.4171,18.7094,1335.8756,2.3974,4612
Prophet,base,100,1,558,311,0.5573,43.3151,1170.3460,2.7717,13782
Prophet,base,150,1,557,371,0.6661,74.2507,1035.0391,3.0054,27918
SprayAndWait,base,50,1,561,235,0.4189,9.5915,1161.4221,2.1660,2489
SprayAndWait,base,100,1,558,231,0.4140,10.5541,1088.7368,2.0866,2669
SprayAndWait,base,150,1,557,266,0.4776,9.6466,980.0312,2.1917,2832
DirectDelivery,base,50,1,561,72,0.1283,0.0000,1059.5222,1.0000,72
DirectDelivery,base,100,1,558,69,0.1237,0.0000,1066.9725,1.0000,69
DirectDelivery,base,150,1,557,79,0.1418,0.0000,998.7772,1.0000,79
FirstContact,base,50,1,561,70,0.1248,54.5143,1042.4800,5.2714,3886
FirstContact,base,100,1,558,64,0.1147,93.9063,1004.7594,8.0938,6074
FirstContact,base,150,1,557,65,0.1167,134.6769,847.1154,12.0462,8819
MaxProp,base,50,1,561,315,0.5615,34.3429,1111.9292,3.1397,11133
MaxProp,base,100,1,558,391,0.7007,75.7826,892.0189,3.9693,30022
MaxProp,base,150,1,557,430,0.7720,117.7581,705.6323,4.1116,51066
PoDC,base,50,2,787,353,0.4485,23.9830,1067.2059,2.5127,8819
PoDC,base,100,2,874,516,0.5904,67.1298,908.9039,3.2810,35155
PoDC,base,150,2,901,587,0.6515,107.1158,833.4954,3.7990,63464
Epidemic,base,50,2,561,257,0.4581,38.7665,1328.8187,3.1907,10220
Epidemic,base,100,2,558,368,0.6595,94.9429,1009.0405,4.0761,35307
Epidemic,base,150,2,557,397,0.7127,171.7607,822.3338,4.4509,68586
Prophet,base,50,2,561,213,0.3797,16.7887,1424.0329,2.2676,3789
Prophet,base,100,2,558,325,0.5824,41.8338,1341.1332,2.8923,13921
Prophet,base,150,2,557,364,0.6535,70.9011,1144.9931,3.0907,26172
SprayAndWait,base,50,2,561,214,0.3815,10.4299,1225.5364,2.0607,2446
SprayAndWait,base,100,2,558,241,0.4319,10.4896,1177.9705,2.0498,2769
SprayAndWait,base,150,2,557,253,0.4542,10.0119,1175.7913,2.1581,2786
DirectDelivery,base,50,2,561,75,0.1337,0.0000,1095.2880,1.0000,75
DirectDelivery,base,100,2,558,75,0.1344,0.0000,1098.8840,1.0000,75
DirectDelivery,base,150,2,557,65,0.1167,0.0000,1186.3169,1.0000,65
FirstContact,base,50,2,561,64,0.1141,48.4688,1126.9375,5.2188,3166
FirstContact,base,100,2,558,64,0.1147,95.3906,1077.7375,8.1563,6169
FirstContact,base,150,2,557,64,0.1149,131.2344,1142.4219,13.0469,8463
MaxProp,base,50,2,561,290,0.5169,31.5276,1273.6297,3.0793,9433
MaxProp,base,100,2,,,,,,,
MaxProp,base,150,2,557,423,0.7594,115.5532,792.1903,4.2908,49302
PoDC,base,50,3,777,341,0.4389,26.2903,959.4296,2.5543,9306
PoDC,base,100,3,856,494,0.5771,68.1660,894.9494,3.3239,34168
PoDC,base,150,3,905,567,0.6265,111.1111,875.1573,3.8025,63567
Epidemic,base,50,3,561,247,0.4403,41.3036,1162.3441,3.2672,10449
Epidemic,base,100,3,558,353,0.6326,99.5467,948.2110,4.0680,35493
Epidemic,base,150,3,557,401,0.7199,171.4738,848.9823,4.3691,69162
Prophet,base,50,3,561,201,0.3583,18.3433,1442.7861,2.2587,3888
Prophet,base,100,3,558,309,0.5538,42.3819,1314.4951,2.7443,13405
Prophet,base,150,3,557,339,0.6086,70.7552,1187.8286,3.0177,24325
SprayAndWait,base,50,3,561,200,0.3565,11.2550,1236.2205,2.0550,2451
SprayAndWait,base,100,3,558,234,0.4194,10.3291,1012.7197,2.1624,2651
SprayAndWait,base,150,3,557,234,0.4201,10.7650,1206.9496,2.1111,2753
DirectDelivery,base,50,3,561,71,0.1266,0.0000,1208.1028,1.0000,71
