scenario,sim_time,nodes,created,delivered,delivery_ratio,overhead_ratio,avg_latency,avg_hops,gini_work,avg_proof_bytes,total_forwarded,total_rejected,total_acks,total_invalid_acks
PoDC_n50_s1,3600.0,56,561,240,0.427807,45.5000,1176.50,2.61,0.483996,333.9,11160,0,212,0
PoDC_n100_s1,3600.0,106,558,311,0.557348,114.1447,1073.36,3.39,0.441741,433.8,35810,0,284,0
PoDC_n150_s1,3600.0,156,557,365,0.655296,196.6932,886.87,3.54,0.507102,453.1,72158,0,346,0
PoDC_n50_s2,3600.0,56,561,226,0.402852,38.0221,1370.66,2.71,0.442133,347.2,8819,0,198,0
PoDC_n100_s2,3600.0,106,558,316,0.566308,110.2373,1101.19,3.35,0.498973,429.0,35151,0,304,0
PoDC_n150_s2,3600.0,156,557,343,0.615799,184.0087,999.60,3.71,0.528321,474.7,63458,0,331,0
PoDC_n50_s3,3600.0,56,561,216,0.385027,42.0833,1218.27,2.63,0.470076,337.2,9306,0,199,0
PoDC_n100_s3,3600.0,106,558,298,0.534050,113.6544,1101.37,3.30,0.490089,422.7,34167,0,273,0
PoDC_n150_s3,3600.0,156,557,348,0.624776,181.6695,1042.88,3.72,0.523183,476.7,63569,0,337,0
PoDC_n50_s4,3600.0,56,561,240,0.427807,42.7583,1277.83,2.62,0.447664,334.9,10502,0,221,0
PoDC_n100_s4,3600.0,106,558,315,0.564516,106.8413,1138.37,3.24,0.457047,414.9,33970,0,302,0
PoDC_n150_s4,3600.0,156,557,353,0.633752,186.1785,917.23,3.52,0.510383,450.0,66074,0,333,0
PoDC_n50_s5,3600.0,56,561,230,0.409982,43.7696,1146.33,2.76,0.477804,352.8,10297,0,216,0
PoDC_n100_s5,3600.0,106,558,295,0.528674,109.6136,1143.35,3.25,0.502675,416.1,32631,0,276,0
PoDC_n150_s5,3600.0,156,557,336,0.603232,195.8780,932.53,3.62,0.535678,462.9,66151,0,319,0
PoDC_sybil_s1,3600.0,126,559,320,0.572451,142.1844,983.80,21.34,0.460832,2732.0,45819,0,304,0
PoDC_sybil_s2,3600.0,126,559,351,0.627907,146.2336,877.92,12.82,0.464552,1641.4,51679,0,333,0
PoDC_sybil_s3,3600.0,126,559,319,0.570662,139.7994,984.29,14.50,0.470638,1856.6,44915,0,301,0
PoDC_sybil_s4,3600.0,126,559,338,0.604651,145.2485,891.24,31.04,0.482731,3973.3,49432,0,327,0
PoDC_sybil_s5,3600.0,126,559,323,0.577818,139.0929,1040.75,20.61,0.444478,2638.1,45250,0,299,0
PoDC_n126_clean_s1,3600.0,126,559,321,0.574240,140.9938,991.51,3.41,0.479197,436.6,45580,0,294,0
PoDC_n126_clean_s2,3600.0,126,559,327,0.584973,147.0703,947.80,3.31,0.478704,423.9,48419,0,306,0
PoDC_n126_clean_s3,3600.0,126,559,338,0.604651,144.0769,1013.89,3.55,0.459870,454.1,49036,0,321,0
PoDC_n126_clean_s4,3600.0,126,559,322,0.576029,149.5683,942.43,3.24,0.500997,415.0,48483,0,306,0
PoDC_n126_clean_s5,3600.0,126,559,330,0.590340,139.9303,993.89,3.39,0.479943,434.0,46507,0,307,0
PoDC_drop0.3_s1,3600.0,106,558,291,0.521505,106.2027,1066.87,2.99,0.497700,383.1,31196,0,275,0
PoDC_drop0.3_s2,3600.0,106,558,286,0.512545,106.0594,1192.31,3.03,0.475984,388.5,30619,0,271,0
PoDC_drop0.3_s3,3600.0,106,558,273,0.489247,107.7619,1132.70,2.97,0.455328,380.7,29692,0,252,0
PoDC_drop0.3_s4,3600.0,106,558,289,0.517921,98.0761,1178.64,2.97,0.483224,379.6,28633,0,279,0
PoDC_drop0.3_s5,3600.0,106,558,276,0.494624,99.6341,1156.90,3.03,0.525318,388.2,27775,0,265,0
PoDC_drop0.7_s1,3600.0,106,558,318,0.569892,128.7075,988.99,3.63,0.450547,464.5,41247,0,296,0
PoDC_drop0.7_s2,3600.0,106,558,326,0.584229,121.0675,1100.79,3.61,0.475567,462.5,39794,0,302,0
PoDC_drop0.7_s3,3600.0,106,558,313,0.560932,123.9201,1060.93,3.66,0.451430,468.7,39100,0,289,0
PoDC_drop0.7_s4,3600.0,106,558,321,0.575269,121.8224,1068.26,3.63,0.432886,464.5,39426,0,301,0
PoDC_drop0.7_s5,3600.0,106,558,310,0.555556,116.0613,1092.76,3.59,0.513719,459.6,36289,0,283,0
